session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train3,picture_file
train3,list4,1,Buch_gruen,Buch,gruen,12,LFP,SN,cblock,etc,Buch_weiss,buch_weiss.png
train3,list4,2,Burg_alt,Burg,alt,13,HFP,SN,cblock,building,Burg_weiss,burg_weiss.png
train3,list4,3,Fabrik_gross,Fabrik,gross,18,HFP,SN,cblock,building,Fabrik_gruen,fabrik_gruen.png
train3,list4,4,Flagge_alt,Flagge,alt,21,LFP,SN,cblock,etc,Flagge_gruen,flagge_gruen.png
train3,list4,5,Herd_alt,Herd,alt,28,LFP,SN,cblock,tool,Herd_schwarz,herd_schwarz.png
train3,list4,6,Hose_klein,Hose,klein,29,LFP,SN,cblock,clothing,Hose_rot,hose_rot.png
train3,list4,7,Hut_klein,Hut,klein,30,LFP,SN,cblock,clothing,Hut_gruen,hut_gruen.png
train3,list4,8,Kirche_rot,Kirche,rot,34,LFP,SN,cblock,building,Kirche_weiss,kirche_weiss.png
train3,list4,9,Krone_neu,Krone,neu,36,HFP,SN,cblock,etc,Krone_weiss,krone_weiss.png
train3,list4,10,Mantel_alt,Mantel,alt,39,LFP,SN,cblock,clothing,Mantel_gruen,mantel_gruen.png
train3,list4,11,Nest_klein,Nest,klein,41,HFP,SN,cblock,building,Nest_rot,nest_rot.png
train3,list4,12,Rock_schwarz,Rock,schwarz,47,HFP,SN,cblock,clothing,Rock_weiss,rock_weiss.png
train3,list4,13,Stadion_gruen,Stadion,gruen,51,LFP,SN,cblock,building,Stadion_weiss,stadion_weiss.png
train3,list4,14,Tomate_gruen,Tomate,gruen,55,HFP,SN,cblock,vegetable,Tomate_weiss,tomate_weiss.png
train3,list4,15,Topf_gross,Topf,gross,56,HFP,SN,cblock,tool,Topf_weiss,topf_weiss.png
train3,list4,16,Uhr_gross,Uhr,gross,59,HFP,SN,cblock,tool,Uhr_weiss,uhr_weiss.png
train3,list4,17,Zeitung_alt,Zeitung,alt,62,HFP,SN,cblock,etc,Zeitung_rot,zeitung_rot.png
train3,list4,18,Zweig_gruen,Zweig,gruen,65,HFP,SP,cblock,nature,Zweig_gruen,zweig_gruen.png
train3,list4,19,Frau_rot,Frau,rot,23,LFP,SP,cblock,human,Frau_rot,frau_rot.png
train3,list4,20,Dach_weiss,Dach,weiss,15,LFP,SP,cblock,building,Dach_weiss,dach_weiss.png
train3,list4,21,Wolke_schwarz,Wolke,schwarz,60,HFP,SP,cblock,nature,Wolke_schwarz,wolke_schwarz.png
train3,list4,22,Mann_weiss,Mann,weiss,38,HFP,SP,cblock,human,Mann_weiss,mann_weiss.png
train3,list4,23,Baum_schwarz,Baum,schwarz,3,LFP,SP,cblock,nature,Baum_schwarz,baum_schwarz.png
train3,list4,24,Erde_rot,Erde,rot,17,HFP,SP,cblock,nature,Erde_rot,erde_rot.png
train3,list4,25,Bild_gruen,Bild,gruen,5,LFP,SP,cblock,furniture,Bild_gruen,bild_gruen.png
train3,list4,26,Blume_rot,Blume,rot,7,HFP,SP,cblock,nature,Blume_rot,blume_rot.png
train3,list4,27,Glas_rot,Glas,rot,25,LFP,SP,cblock,tool,Glas_rot,glas_rot.png
train3,list4,28,Rose_weiss,Rose,weiss,48,HFP,SP,cblock,nature,Rose_weiss,rose_weiss.png
train3,list4,29,Pflanze_gruen,Pflanze,gruen,45,HFP,SP,cblock,nature,Pflanze_gruen,pflanze_gruen.png
train3,list4,30,Tuer_schwarz,Tuer,schwarz,57,LFP,SP,cblock,building,Tuer_schwarz,tuer_schwarz.png
