session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train2,picture_file
train2,list4,1,Bett_gross,Bett,gross,4,HFP,SN,cblock,furniture,Bett_rot,bett_rot.png
train2,list4,2,Blatt_schwarz,Blatt,schwarz,6,LFP,SN,cblock,nature,Blatt_weiss,blatt_weiss.png
train2,list4,3,Brille_klein,Brille,klein,10,LFP,SN,cblock,etc,Brille_rot,brille_rot.png
train2,list4,4,Buch_gruen,Buch,gruen,12,LFP,SN,cblock,etc,Buch_rot,buch_rot.png
train2,list4,5,Bus_neu,Bus,neu,14,HFP,SN,cblock,transportation,Bus_rot,bus_rot.png
train2,list4,6,Fabrik_gross,Fabrik,gross,18,HFP,SN,cblock,building,Fabrik_weiss,fabrik_weiss.png
train2,list4,7,Flagge_alt,Flagge,alt,21,LFP,SN,cblock,etc,Flagge_rot,flagge_rot.png
train2,list4,8,Haus_schwarz,Haus,schwarz,26,LFP,SN,cblock,building,Haus_weiss,haus_weiss.png
train2,list4,9,Kirche_rot,Kirche,rot,34,LFP,SN,cblock,building,Kirche_schwarz,kirche_schwarz.png
train2,list4,10,Krone_neu,Krone,neu,36,HFP,SN,cblock,etc,Krone_schwarz,krone_schwarz.png
train2,list4,11,Mantel_alt,Mantel,alt,39,LFP,SN,cblock,clothing,Mantel_weiss,mantel_weiss.png
train2,list4,12,Nest_klein,Nest,klein,41,HFP,SN,cblock,building,Nest_schwarz,nest_schwarz.png
train2,list4,13,Teppich_rot,Teppich,rot,53,HFP,SN,cblock,furniture,Teppich_gruen,teppich_gruen.png
train2,list4,14,Tisch_alt,Tisch,alt,54,LFP,SN,cblock,furniture,Tisch_schwarz,tisch_schwarz.png
train2,list4,15,Uhr_gross,Uhr,gross,59,HFP,SN,cblock,tool,Uhr_gruen,uhr_gruen.png
train2,list4,16,Zeitung_alt,Zeitung,alt,62,HFP,SN,cblock,etc,Zeitung_weiss,zeitung_weiss.png
train2,list4,17,Zwiebel_rot,Zwiebel,rot,66,HFP,SN,cblock,vegetable,Zwiebel_gruen,zwiebel_gruen.png
train2,list4,18,Zweig_gruen,Zweig,gruen,65,HFP,SP,cblock,nature,Zweig_gruen,zweig_gruen.png
train2,list4,19,Frau_rot,Frau,rot,23,LFP,SP,cblock,human,Frau_rot,frau_rot.png
train2,list4,20,Dach_weiss,Dach,weiss,15,LFP,SP,cblock,building,Dach_weiss,dach_weiss.png
train2,list4,21,Wolke_schwarz,Wolke,schwarz,60,HFP,SP,cblock,nature,Wolke_schwarz,wolke_schwarz.png
train2,list4,22,Mann_weiss,Mann,weiss,38,HFP,SP,cblock,human,Mann_weiss,mann_weiss.png
train2,list4,23,Baum_schwarz,Baum,schwarz,3,LFP,SP,cblock,nature,Baum_schwarz,baum_schwarz.png
train2,list4,24,Erde_rot,Erde,rot,17,HFP,SP,cblock,nature,Erde_rot,erde_rot.png
train2,list4,25,Bild_gruen,Bild,gruen,5,LFP,SP,cblock,furniture,Bild_gruen,bild_gruen.png
train2,list4,26,Blume_rot,Blume,rot,7,HFP,SP,cblock,nature,Blume_rot,blume_rot.png
train2,list4,27,Glas_rot,Glas,rot,25,LFP,SP,cblock,tool,Glas_rot,glas_rot.png
train2,list4,28,Rose_weiss,Rose,weiss,48,HFP,SP,cblock,nature,Rose_weiss,rose_weiss.png
train2,list4,29,Pflanze_gruen,Pflanze,gruen,45,HFP,SP,cblock,nature,Pflanze_gruen,pflanze_gruen.png
train2,list4,30,Tuer_schwarz,Tuer,schwarz,57,LFP,SP,cblock,building,Tuer_schwarz,tuer_schwarz.png
