session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train1,picture_file
train1,list4,1,Apfel_neu,Apfel,neu,1,LFP,SN,cblock,food,Apfel_gruen,apfel_gruen.png
train1,list4,2,Ball_rot,Ball,rot,2,HFP,SN,cblock,tool,Ball_weiss,ball_weiss.png
train1,list4,3,Blatt_schwarz,Blatt,schwarz,6,LFP,SN,cblock,nature,Blatt_rot,blatt_rot.png
train1,list4,4,Brot_neu,Brot,neu,11,LFP,SN,cblock,food,Brot_weiss,brot_weiss.png
train1,list4,5,Burg_alt,Burg,alt,13,HFP,SN,cblock,building,Burg_gruen,burg_gruen.png
train1,list4,6,Ei_weiss,Ei,weiss,16,HFP,SN,cblock,food,Ei_rot,ei_rot.png
train1,list4,7,Flagge_alt,Flagge,alt,21,LFP,SN,cblock,etc,Flagge_weiss,flagge_weiss.png
train1,list4,8,Haus_schwarz,Haus,schwarz,26,LFP,SN,cblock,building,Haus_gruen,haus_gruen.png
train1,list4,9,Herd_alt,Herd,alt,28,LFP,SN,cblock,tool,Herd_weiss,herd_weiss.png
train1,list4,10,Hut_klein,Hut,klein,30,LFP,SN,cblock,clothing,Hut_rot,hut_rot.png
train1,list4,11,Kirche_rot,Kirche,rot,34,LFP,SN,cblock,building,Kirche_gruen,kirche_gruen.png
train1,list4,12,Krone_neu,Krone,neu,36,HFP,SN,cblock,etc,Krone_gruen,krone_gruen.png
train1,list4,13,Lampe_rot,Lampe,rot,37,HFP,SN,cblock,furniture,Lampe_gruen,lampe_gruen.png
train1,list4,14,Nest_klein,Nest,klein,41,HFP,SN,cblock,building,Nest_weiss,nest_weiss.png
train1,list4,15,Stadion_gruen,Stadion,gruen,51,LFP,SN,cblock,building,Stadion_rot,stadion_rot.png
train1,list4,16,Teppich_rot,Teppich,rot,53,HFP,SN,cblock,furniture,Teppich_schwarz,teppich_schwarz.png
train1,list4,17,Topf_gross,Topf,gross,56,HFP,SN,cblock,tool,Topf_rot,topf_rot.png
train1,list4,18,Zweig_gruen,Zweig,gruen,65,HFP,SP,cblock,nature,Zweig_gruen,zweig_gruen.png
train1,list4,19,Frau_rot,Frau,rot,23,LFP,SP,cblock,human,Frau_rot,frau_rot.png
train1,list4,20,Dach_weiss,Dach,weiss,15,LFP,SP,cblock,building,Dach_weiss,dach_weiss.png
train1,list4,21,Wolke_schwarz,Wolke,schwarz,60,HFP,SP,cblock,nature,Wolke_schwarz,wolke_schwarz.png
train1,list4,22,Mann_weiss,Mann,weiss,38,HFP,SP,cblock,human,Mann_weiss,mann_weiss.png
train1,list4,23,Baum_schwarz,Baum,schwarz,3,LFP,SP,cblock,nature,Baum_schwarz,baum_schwarz.png
train1,list4,24,Erde_rot,Erde,rot,17,HFP,SP,cblock,nature,Erde_rot,erde_rot.png
train1,list4,25,Bild_gruen,Bild,gruen,5,LFP,SP,cblock,furniture,Bild_gruen,bild_gruen.png
train1,list4,26,Blume_rot,Blume,rot,7,HFP,SP,cblock,nature,Blume_rot,blume_rot.png
train1,list4,27,Glas_rot,Glas,rot,25,LFP,SP,cblock,tool,Glas_rot,glas_rot.png
train1,list4,28,Rose_weiss,Rose,weiss,48,HFP,SP,cblock,nature,Rose_weiss,rose_weiss.png
train1,list4,29,Pflanze_gruen,Pflanze,gruen,45,HFP,SP,cblock,nature,Pflanze_gruen,pflanze_gruen.png
train1,list4,30,Tuer_schwarz,Tuer,schwarz,57,LFP,SP,cblock,building,Tuer_schwarz,tuer_schwarz.png
